Code,Course Title,L-T-P-Credit
HS 621,Historiography and Historical Methods,2-1-0-3
HS 623,Advanced Microeconomics-I,3-0-0-3
HS 603,Epistemology,3-0-0-3
HS 630,Intellectual Property Rights,2-0-0-2
HS 743,Indian English Fiction,2-1-0-3
HS 655,Digital Humanities,2-0-2-3
HS 600,Data Analysis and Technical Writing,2-1-0-3
HS 610,Media Studies,2-1-0-3
HS 624,Econometrics I,2-1-0-3
HS 6XX,Economics of Innovation,3-0-0-3
HS 606,Moral Philosophy,2-1-0-3
HS 7XX,Archives and Digital Publishing,2-0-2-3
HS 724,Econometrics II,2-1-0-3
HS 618,Sustainability Studies,3-0-0-3
HS 680,Sociology of Religion,2-1-0-3
HS 605,Social and Political Philosophy,2-1-0-3
HS 671,Human Factors and Higher Cognitive Processes,2-0-2-3
HS 612,Contemporary Indian Thought,2-1-0-3
