Code,Course Title,L-T-P-Credit
HS 205,Sociology,2-1-0-3
IHS 482,Introduction to international Development & Area Studies,2-1-0-3
HS 31,Sociology of Science & Technology,2-1-0-3
HS 412/612,Contemporary Indian Thought,2-1-0-3
HS 418/618,Sustainability Studies,3-0-0-3
HS 442/642,Language and Mind,2-1-0-3Sponsore
HS 605,Social and Political Philosophy,2-1-0-3
HS 616,Advanced Sociological Theory,2-1-0-3
HS 630,Intellectual Property Rights,2-0-0-2
HS 671,Human Factor and Higher Cognitive Processes,2-0-2-3
HS 743,Indian English Fiction,2-1-0-3
HS 745,Postcolonial Theory and Criticism,2-1-0-3
HS 201,Understanding Philosophy,3-0-0-3
HS 203,Psychology,3-0-0-3
HS 207,French Language – I,2-1-0-3
HS 206,Paradigms and Turning Points,3-0-0-3
HS 208,French Language – II,2-1-0-3
HS 210,Indian Economy,2-1-0-3
HS 211,German Literature and Cultural Studies,2-1-0-3
HS 214,History of Indian Culture and Civilization,2-1-0-3
HS 213,Cognitive Psychology,2-1-0-3
HS 216,Introduction to Hindi Cinema,2-1-0-3
HS 311,Life and thought of Gandhi,3-0-0-3
HS 313,History of Early Cinema,3-0-0-3
HS 315,Sociology of Science and Technology,2-1-0-3
HS 323,International Economics,3-0-0-3
HS 327,"Mind, Action and Technology",2-0-1-3
HS 341,Appreciating Indian English Literature,3-0-0-3
IHS 402,Twentieth Century World History: Critical Perspectives,3-0-0-3
IHS 422/HS 622,Development Economics,3-0-0-3
IHS 425,Money and Banking,2-1-0-3
HS 426,Economics of Innovation,3-0-0-3
IHS 443/HS 643,Contemporary Short Fiction,3-0-0-3
IHS 444,Literature of the Twentieth Century,3-0-0-3
HS 600,Data Analysis and Technical Writing,2-1-0-3
HS 602,Foundation of Knowledge,2-1-0-3
HS 603,Epistemology,2-1-0-3
HS 606,Moral Philosophy,2-1-0-3
HS 607,Foundation of Social Sciences,2-1-0-3
HS 608,Nations & Nationalism,2-1-0-3
HS 611,Philosophy of Natural Sciences,2-1-0-3
HS 742,Twentieth Century and the European Novel,2-1-0-3
HS 744,South Asian Diaspora Literature,2-1-0-3
HS 746,Translation Studies,2-1-0-3
HS 747,Advanced Literary Theory,2-1-0-3
HS 624,Econometrics-I,2-1-0-3
HS 626,Environmental and Natural Resource Economics,2-1-0-3
HS 724,Econometrics – II,2-1-0-3
HS 601,Research Methods in Social Sciences,2-1-0-3
HS 623,Advanced Microeconomics – I,2-1-0-3
HS 680,Sociology of Religion,2-1-0-3
HS 159,English Language and Communication,0-3-0-3
HS 108,Economics,3-0-03
HS 209,Intermediate Microeconomics,2-1-0-3
HS 212,"History of India after Independence, 1947-2000",2-1-0-3
HS 325,Industrial Organization,2-1-0-3
HS 421/ HS 621,Historiography and Historical Methods,2-1-0-3
HS 455/ HS 655,Digital Humanities,2-0-2-3
IHS 416,French Language,2-1-0-3
HS 410/HS 610,Media Studies,2-1-0-3
HS 446,Music and Literary Modernism,2-1-0-3
