S/N,Publication Details,Year
1,"Singh, Mahima and Akshaya Kumar. (2023) “A Critical Political Economy Perspective on Indian 
Television: STAR, Hotstar and Live Sports Streaming”, tripleC: Communication, Capitalism & Critique. ",2023
2,"Sharma, Ruchi and Madan Dhanora. 2023. Evolution of India’s Patent Policy and its Implication in 
Handbook on Innovation and Intellectual Property edited by Walter G Park. Edward Elgar.  ",2023
4,"Menon, Nirmala, Maya Dodd Learning by Practice: Digital Humanities in India, Routledge Publishing, 
Forthcoming in 2023. (Book)",2023
5,"Kumar, Rajesh, Brahma, Sansuma, Monsang, Sh. Francis, & Dilip, Mayuri. Negation in select South 
Asian Language. In Pritha Chandra (eds.), Variation in South Asian Languages: From Macro to Micro
Differences. Singapore: Springer Nature. [Accepted]",2023
6,"Justin, Jyothi and Nirmala Menon. “Indian Intersectional Ecofeminism and Sustainability: A Study on 
Mayilamma: The Life of a Tribal Eco-Warrior and Jharkhand’s Save the Forest Movement”. Journal 
of Ecohumanism. Transnational Press of London, UK.",2023
7,"Justin, Jyothi and Nirmala Menon (Forthcoming). “Digital Cartography and Feminist Geocriticism: A 
Case Study of Marichjhapi Massacre”. Cartographica. University of Toronto Press, (UTP).  ",2023
8,"Joseph, Justy and Nirmala Menon. “Digital Humanities Teaching Pedagogy in Virtual class rooms of 
India”, MLA 22 special Issue, Duke University Press, 2023. [Accepted]",2023
9,"Jain, A., Ruchi Sharma, and P.V Ilavarasan. Forthcoming. To patent or not? Factors and motivation 
affecting Indian academic patenting, Economic and Political Weekly. [Accepted]",2023
10,"Ghoshal, Ananya. (2023) ‘Sounding the Anthropocene’, in Scenes from the Anthropocene, University of California Press. ",2023
11,"Das, Aratrika. (Forthcoming) “Santusthi and jodidar through killing” in Murderous Sublime: Serial Killers 
and Serial Spectators. Eds Anhiti Patnaik and Elana Gomel (Palgrave-Macmillan). ",2023
12,"Danish, M. S., P. Ranjan, and Ruchi Sharma. Forthcoming. Mapping the quality of intellectual property 
in India using survival analysis. Asian Journal of Technology Innovation. [Accepted] ",2023
13,"Ghoshal, Ananya. ‘On Fulbright Fellowships- from an Alumni,’ Fulbright Mentoring Program invited 
speaker, organized by USIEF for 2023-2024 Fulbright Fellowship Applicants in Indore, in association 
with IIT Indore, International Cell on April 20, 2022. ",2022
14,"Sharma Ruchi. 2022. “Innovation Strategies of the Foreign Firms in the Indian Manufacturing 
Industry” during 15th Annual International Conference on Emerging Technologies and Development 
organized by Forum for Global Knowledge Sharing (FGKS), held at ISID New Delhi November 16 ",2022
15,"Sharma Ruchi. “India's Patent Policy and its evolution.” Keynote address during the conference on 
Unfurling Indian Economy: Growth, Transformation and Sustainability' during 15 -17th December 
2022. Department of Economics, University of Kerala. ",2022
16,"Sharma Ruchi. 2022. “Patenting Strategies of the Foreign Firms in the Indian Manufacturing Industry” 
during EPIP 2022, 14-17 September. University of Cambridge, U.K.  ",2022
17,"Aratrika Das. “The Romantic Age”, Part of Lecture Series on The History of English Literature, 
Ramlal Anand College, University of Delhi, 19-02-2022",2022
18,"Aratrika Das. “Windows, Vampires, Blood, and Tweed”, Keynote Address, Epiphaneia Literary Fest, 
Shaheed Bhagat Singh College, University of Delhi, 11-03-2022",2022
19,"N.S. Khangar, T. Mohanasundari and Das A ""Effectiveness of Agriculture grants on the Functioning 
of the Farmer Producer Companies in Tamil Nadu."", Credit markets policies in south Asia: issues and 
challenges, YSI-INET & IIT Tirupati, 7-9 December 2022.",2022
20,"Kedarmal Verma & Naveen Kashyap (2022). Relationship between Occupational Stress and Sleep 
Quality in COVID-19 Crisis, at 31st Convention of the National Academy of Psychology on 
“Psychology and Social Justice at the Time of COVID-19 Pandemic: The State, Community, and 
Individual Perspectives” at IIT Mumbai, India.  ",2022
21,"Ghoshal, Ananya. Invited lecture [online, ‘Of Luminous Presence: the portrayal of women in Satyajit 
Ray's Devi/Goddess (1960), Mahanagar/The Big City (1963), and Agantuk/The Stranger (1991)’for the 
Women's Studies Research Centre, the Maharaja Sayajirao University of Baroda, on April 8, 2021. ",2021
22,"Ghoshal, Ananya. “Integrating Eco Cinema, and the Digital Anthropocene in Education: New 
Temporalities and Creative Responses” at the ‘Exploring Humanities Pedagogies: Conversations, 
Commonalities, and Connections’- an online conference organized by Humanities Pedagogy Collective and Stanford University on July 15, 2021.",2021
23,"Ruchi Sharma. 2021. Panel expert, talk on “Understanding foreign R&D types in the host country 
based on patent analysis”, November 24. Organized by Gokhale Institute of Politics and Economics 
(GIPE), Pune and Narsee Monjee Institute of Management Studies (NMIMS), Mumbai. ",2021
24,"Aratrika Das. “Food and Modern Reading Habits”, Keynote Address, Literary Fest, Lakshmibai 
College, University Of Delhi, 22-02-2021",2021
25,"Aratrika Das. “Goth and Otherness”, Keynote Address, Pantheon Literary Fest, Delhi College of Arts 
and Commerce, University of Delhi, 25-02-2021 ",2021
26,"Justin, Jyothi and Nirmala Menon. “Using Digital Cartography and Feminist Geocriticism in Literary 
Studies - A Proposal”. 5th ACM SIGSPATIAL International Workshop on Geospatial Humanities 
held in conjunction with ACM SIGSPATIAL 2021 in Beijing, China. Conference Proceedings of 
ACM Digital Library, 02 November, 2021. https://dl.acm.org/doi/10.1145/3486187.3490201",2021
27,"Kumar, Akshaya. ‘Dating Apps: Emerging Online Intimacies’, at Rickshaw, Department of Sociology, 
South Asia University, New Delhi. 24th February, 2021. ",2021
28,"Kumar, Akshaya. ‘Martial Race Fantasy in CGI Historicals’, at The Past as Present: History and the Politics 
of Representation in Indian Cinema, OP Jindal Global University, Sonepat, Haryana. 30th October, 2021. ",2021
29,"Menon, Nirmala Keynote Annual Conference n Communications and Publishing Electronic 
Literature in India: Does it exist? Amity University, 2021",2021
30,"Menon, Nirmala Keynote Speaker, Digital Humanities Lecture series, East West University, 
Bangladesh 2021 ",2021
31,"Ghoshal, Ananya. Invited lecture [online] on “The ‘Short Story’- A Reappraisal” for the inaugural 
Webinar Series of DOT Talks organized by Tetso College, Dimapur, Nagaland, April 25, 2020.",2020
32,"Ghoshal, Ananya. Plenary Speaker, ""Revisiting The Seventh Seal (1957)"" at the International Webinar 
on 'Epidemics, Body and Medicine: Inquiries through Literary and Cultural Texts' organized by the 
Department of English, Gokhale Memorial Girls' College, University of Calcutta, on June 14, 2020.",2020
33,"Ghoshal, Ananya. Invited lecture [online], 'Art in the Times of the Coronavirus' for the Faculty 
Development Program sponsored by AICTE at the Department of Electronics & Communication 
Engineering, Acropolis Institute of Technology & Research, Indore, on September 5, 2020. ",2020
34,"Ghoshal, Ananya. Invited lecture [online], 'Ekphrasis in Literature' for Intersections: Where Ideas Meet 
under the aegis of Arts faculty, Banaras Hindu University, on December 21, 2020. ",2020
35,"Ruchi Sharma. 2020. Webinar on “Significance and Role of Patents in Academia”, organized by Dept. 
of CSE, VR Siddhartha Eng. College(A), Vijayawada, A. P, on December 5, 2020.",2020
36,"Ruchi Sharma. 2020. Panel expert, talk on “Non-resident patents, technology transfer and knowledge 
spillovers: Citation based analysis of Indian manufacturing firms during,” during Workshop on 
Technology Transfer and Productivity. October 27-28. Organized by Gokhale Institute of Politics and 
Economics (GIPE), Pune and Narsee Monjee Institute of Management Studies (NMIMS), Mumbai. ",2020
